year,month,day,sum
2015,1,1,1014
2015,1,2,1107
2015,1,3,1230
2015,1,4,1426
2015,1,5,1409
2015,1,6,1477
2015,1,7,1250
2015,1,8,1011
2015,1,9,842
2015,1,10,783
2015,1,11,758
2015,1,12,777
2015,1,13,963
2015,1,14,1423
2015,1,15,1604
2015,1,16,1274
2015,1,17,1006
2015,1,18,948
2015,1,19,912
2015,1,20,887
2015,1,21,962
2015,1,22,1280
2015,1,23,1143
2015,1,24,1091
2015,1,25,1112
2015,1,26,1646
2015,1,27,1325
2015,1,28,1355
2015,1,29,1566
2015,1,30,1339
2015,1,31,1288
2015,2,1,1341
2015,2,2,1235
2015,2,3,1395
2015,2,4,1311
2015,2,5,1437
2015,2,6,1244
2015,2,7,1518
2015,2,8,1462
2015,2,9,1474
2015,2,10,1465
2015,2,11,1331
2015,2,12,1508
2015,2,13,1168
2015,2,14,1309
2015,2,15,1285
2015,2,16,1346
2015,2,17,1349
2015,2,18,1297
2015,2,19,311
2015,2,20,485
2015,2,21,287
2015,2,22,271
2015,2,23,261
2015,2,24,264
2015,2,25,241
2015,2,26,1062
2015,2,27,1261
2015,2,28,1043
2015,3,1,1163
2015,3,2,1409
2015,3,3,1255
2015,3,4,1262
2015,3,5,1134
2015,3,6,1197
2015,3,7,1333
2015,3,8,1062
2015,3,9,1061
2015,3,10,1280
2015,3,11,1196
2015,3,12,1483
2015,3,13,1377
2015,3,14,1338
2015,3,15,1225
2015,3,16,1363
2015,3,17,1326
2015,3,18,1492
2015,3,19,1458
2015,3,20,1263
2015,3,21,1129
2015,3,22,1140
2015,3,23,1191
2015,3,24,1333
2015,3,25,1377
2015,3,26,1128
2015,3,27,850
2015,3,28,796
2015,3,29,846
2015,3,30,1049
2015,3,31,1001
2015,4,1,986
2015,4,2,977
2015,4,3,845
2015,4,4,942
2015,4,5,933
2015,4,6,972
2015,4,7,1009
2015,4,8,1016
2015,4,9,1099
2015,4,10,1083
2015,4,11,866
2015,4,12,943
2015,4,13,1081
2015,4,14,1080
2015,4,15,1019
2015,4,16,1289
2015,4,17,1288
2015,4,18,1307
2015,4,19,1367
2015,4,20,1433
2015,4,21,1502
2015,4,22,1466
2015,4,23,1076
2015,4,24,1073
2015,4,25,1055
2015,4,26,1055
2015,4,27,1128
2015,4,28,1066
2015,4,29,1116
2015,4,30,1457
2015,5,1,1283
2015,5,2,1041
2015,5,3,1143
2015,5,4,1079
2015,5,5,1216
2015,5,6,1363
2015,5,7,1264
2015,5,8,1238
2015,5,9,1022
2015,5,10,1051
2015,5,11,1131
2015,5,12,1178
2015,5,13,1335
2015,5,14,843
2015,5,15,602
2015,5,16,576
2015,5,17,607
2015,5,18,591
2015,5,19,623
2015,5,20,693
2015,5,21,1166
2015,5,22,1070
2015,5,23,979
2015,5,24,1078
2015,5,25,1097
2015,5,26,1158
2015,5,27,1195
2015,5,28,1053
2015,5,29,1189
2015,5,30,1424
2015,5,31,1151
2015,6,1,1121
2015,6,2,1064
2015,6,3,1113
2015,6,4,1424
2015,6,5,1241
2015,6,6,1460
2015,6,7,1374
2015,6,8,1354
2015,6,9,1404
2015,6,10,1276
2015,6,11,1338
2015,6,12,1415
2015,6,13,1207
2015,6,14,1263
2015,6,15,1368
2015,6,16,1476
2015,6,17,1609
2015,6,18,573
2015,6,19,277
2015,6,20,277
2015,6,21,222
2015,6,22,221
2015,6,23,222
2015,6,24,199
2015,6,25,873
2015,6,26,765
2015,6,27,805
2015,6,28,764
2015,6,29,974
2015,6,30,1167
2015,7,1,936
2015,7,2,1327
2015,7,3,1283
2015,7,4,1306
2015,7,5,1320
2015,7,6,1506
2015,7,7,1361
2015,7,8,1312
2015,7,9,1326
2015,7,10,1373
2015,7,11,1192
2015,7,12,1454
2015,7,13,1248
2015,7,14,1256
2015,7,15,1185
2015,7,16,1458
2015,7,17,1423
2015,7,18,1421
2015,7,19,1434
2015,7,20,1475
2015,7,21,1483
2015,7,22,1420
2015,7,23,1322
2015,7,24,1278
2015,7,25,1161
2015,7,26,1324
2015,7,27,1368
2015,7,28,1430
2015,7,29,1171
2015,7,30,1050
2015,7,31,1023
2015,8,1,1641
2015,8,2,1275
2015,8,3,1250
2015,8,4,1170
2015,8,5,1092
2015,8,6,1509
2015,8,7,1340
2015,8,8,1359
2015,8,9,1335
2015,8,10,1489
2015,8,11,1551
2015,8,12,1464
2015,8,13,1384
2015,8,14,1071
2015,8,15,1013
2015,8,16,1138
2015,8,17,1166
2015,8,18,1297
2015,8,19,1659
2015,8,20,1503
2015,8,21,1385
2015,8,22,1250
2015,8,23,1295
2015,8,24,1607
2015,8,25,1517
2015,8,26,1307
2015,8,27,1641
2015,8,28,1411
2015,8,29,1297
2015,8,30,1327
2015,8,31,1293
2015,9,1,1290
2015,9,2,1311
2015,9,3,925
2015,9,4,1008
2015,9,5,832
2015,9,6,931
2015,9,7,898
2015,9,8,959
2015,9,9,995
2015,9,10,1162
2015,9,11,1046
2015,9,12,1221
2015,9,13,1270
2015,9,14,1421
2015,9,15,1235
2015,9,16,1322
2015,9,17,1444
2015,9,18,1448
2015,9,19,1196
2015,9,20,1284
2015,9,21,1337
2015,9,22,1435
2015,9,23,1420
2015,9,24,1398
2015,9,25,1466
2015,9,26,1325
2015,9,27,1450
2015,9,28,1314
2015,9,29,1365
2015,9,30,1371
2015,10,1,1281
2015,10,2,1295
2015,10,3,1227
2015,10,4,1224
2015,10,5,1351
2015,10,6,1473
2015,10,7,1358
2015,10,8,1243
2015,10,9,1090
2015,10,10,1076
2015,10,11,979
2015,10,12,1105
2015,10,13,1108
2015,10,14,954
2015,10,15,1127
2015,10,16,1104
2015,10,17,1077
2015,10,18,1054
2015,10,19,1152
2015,10,20,1213
2015,10,21,1167
2015,10,22,1448
2015,10,23,1225
2015,10,24,1235
2015,10,25,1284
2015,10,26,1328
2015,10,27,1346
2015,10,28,1354
2015,10,29,840
2015,10,30,761
2015,10,31,670
2015,11,1,718
2015,11,2,800
2015,11,3,1104
2015,11,4,1517
2015,11,5,1724
2015,11,6,1137
2015,11,7,975
2015,11,8,869
2015,11,9,1010
2015,11,10,959
2015,11,11,939
2015,11,12,1522
2015,11,13,1405
2015,11,14,1168
2015,11,15,1214
2015,11,16,1281
2015,11,17,1380
2015,11,18,1322
2015,11,19,1377
2015,11,20,1320
2015,11,21,1312
2015,11,22,1187
2015,11,23,1231
2015,11,24,1189
2015,11,25,1163
2015,11,26,1495
2015,11,27,1345
2015,11,28,1276
2015,11,29,1331
2015,11,30,1571
2015,12,1,1516
2015,12,2,1590
2015,12,3,774
2015,12,4,623
2015,12,5,637
2015,12,6,684
2015,12,7,722
2015,12,8,915
2015,12,9,1819
2015,12,10,1854
2015,12,11,1438
2015,12,12,1398
2015,12,13,1176
2015,12,14,1142
2015,12,15,1282
2015,12,16,1164
2015,12,17,1629
2015,12,18,1450
2015,12,19,1242
2015,12,20,1269
2015,12,21,1388
2015,12,22,1244
2015,12,23,1454
2015,12,24,1680
2015,12,25,1294
2015,12,26,1554
2015,12,27,1417
2015,12,28,1484
2015,12,29,1393
2015,12,30,1526
2015,12,31,181
2016,1,1,1049
2016,1,2,1313
2016,1,3,1452
2016,1,4,1313
2016,1,5,1469
2016,1,6,1330
2016,1,7,1641
2016,1,8,1636
2016,1,9,1400
2016,1,10,1232
2016,1,11,1318
2016,1,12,1176
2016,1,13,1313
2016,1,14,1262
2016,1,15,1408
2016,1,16,1464
2016,1,17,1267
2016,1,18,1214
2016,1,19,1181
2016,1,20,1283
2016,1,21,1271
2016,1,22,1499
2016,1,23,1473
2016,1,24,1207
2016,1,25,1350
2016,1,26,1316
2016,1,27,1341
2016,1,28,1349
2016,1,29,1611
2016,1,30,1473
2016,1,31,1328
2016,2,1,1437
2016,2,2,1455
2016,2,3,1351
2016,2,4,1437
2016,2,5,1440
2016,2,6,1327
2016,2,7,1355
2016,2,8,1307
2016,2,9,1409
2016,2,10,1456
2016,2,11,1542
2016,2,12,1343
2016,2,13,1241
2016,2,14,1280
2016,2,15,1462
2016,2,16,1439
2016,2,17,1386
2016,2,18,1643
2016,2,19,1740
2016,2,20,1520
2016,2,21,1544
2016,2,22,1459
2016,2,23,1535
2016,2,24,1577
2016,2,25,1340
2016,2,26,1317
2016,2,27,1353
2016,2,28,1135
2016,2,29,1202
2016,3,1,1199
2016,3,2,1349
2016,3,3,1288
2016,3,4,1422
2016,3,5,1573
2016,3,6,1290
2016,3,7,1376
2016,3,8,1380
2016,3,9,1373
2016,3,10,1255
2016,3,11,1237
2016,3,12,1216
2016,3,13,1134
2016,3,14,1337
2016,3,15,1282
2016,3,16,1255
2016,3,17,1197
2016,3,18,1528
2016,3,19,1463
2016,3,20,1635
2016,3,21,1472
2016,3,22,1564
2016,3,23,1503
2016,3,24,1495
2016,3,25,1292
2016,3,26,1223
2016,3,27,1338
2016,3,28,1273
2016,3,29,1408
2016,3,30,1434
2016,3,31,1415
2016,4,1,1371
2016,4,2,1298
2016,4,3,1273
2016,4,4,1252
2016,4,5,1372
2016,4,6,1330
2016,4,7,1321
2016,4,8,1428
2016,4,9,1241
2016,4,10,1351
2016,4,11,1356
2016,4,12,1433
2016,4,13,1500
2016,4,14,1209
2016,4,15,866
2016,4,16,852
2016,4,17,892
2016,4,18,864
2016,4,19,947
2016,4,20,839
2016,4,21,1027
2016,4,22,1200
2016,4,23,1028
2016,4,24,1183
2016,4,25,1121
2016,4,26,1134
2016,4,27,1202
2016,4,28,1320
2016,4,29,550
2016,4,30,486
2016,5,1,431
2016,5,2,1375
2016,5,3,947
2016,5,4,633
2016,5,5,640
2016,5,6,1587
2016,5,7,1581
2016,5,8,1382
2016,5,9,1446
2016,5,10,1450
2016,5,11,1427
2016,5,12,1397
2016,5,13,1583
2016,5,14,1415
2016,5,15,1313
2016,5,16,1303
2016,5,17,1514
2016,5,18,1455
2016,5,19,1536
2016,5,20,1682
2016,5,21,1273
2016,5,22,1482
2016,5,23,1554
2016,5,24,1415
2016,5,25,1579
2016,5,26,1419
2016,5,27,1299
2016,5,28,1434
2016,5,29,1592
2016,5,30,1595
2016,5,31,1516
2016,6,1,1393
2016,6,2,1318
2016,6,3,1455
2016,6,4,1518
2016,6,5,1401
2016,6,6,1445
2016,6,7,1458
2016,6,8,1387
2016,6,9,1358
2016,6,10,1046
2016,6,11,1016
2016,6,12,1533
2016,6,13,1789
2016,6,14,1558
2016,6,15,1339
2016,6,16,1814
2016,6,17,1685
2016,6,18,1326
2016,6,19,1134
2016,6,20,1223
2016,6,21,1443
2016,6,22,1210
2016,6,23,1358
2016,6,24,1704
2016,6,25,1200
2016,6,26,1005
2016,6,27,1038
2016,6,28,1018
2016,6,29,982
2016,6,30,939
2016,7,1,1701
2016,7,2,1457
2016,7,3,1543
2016,7,4,1522
2016,7,5,1518
2016,7,6,1487
2016,7,7,1658
2016,7,8,1182
2016,7,9,1535
2016,7,10,1283
2016,7,11,1158
2016,7,12,1163
2016,7,13,1076
2016,7,14,1033
2016,7,15,1696
2016,7,16,1558
2016,7,17,1574
2016,7,18,1572
2016,7,19,1401
2016,7,20,1492
2016,7,21,1650
2016,7,22,1053
2016,7,23,1012
2016,7,24,1095
2016,7,25,969
2016,7,26,1115
2016,7,27,1229
2016,7,28,1087
2016,7,29,762
2016,7,30,751
2016,7,31,786
2016,8,1,829
2016,8,2,1030
2016,8,3,1709
2016,8,4,1165
2016,8,5,1261
2016,8,6,1210
2016,8,7,1298
2016,8,8,1239
2016,8,9,1221
2016,8,10,1079
2016,8,11,1046
2016,8,12,1322
2016,8,13,1323
2016,8,14,1320
2016,8,15,1379
2016,8,16,1396
2016,8,17,1347
2016,8,18,1308
2016,8,19,1436
2016,8,20,1298
2016,8,21,1342
2016,8,22,1348
2016,8,23,1451
2016,8,24,1348
2016,8,25,1404
2016,8,26,1516
2016,8,27,1349
2016,8,28,1272
2016,8,29,1348
2016,8,30,1389
2016,8,31,1472
2016,9,1,1494
2016,9,2,1236
2016,9,3,1180
2016,9,4,1328
2016,9,5,1382
2016,9,6,1290
2016,9,7,1394
2016,9,8,1419
2016,9,9,1522
2016,9,10,1477
2016,9,11,1337
2016,9,12,1535
2016,9,13,1406
2016,9,14,1314
2016,9,15,1490
2016,9,16,68
